Index,X,Y,Re(frequency 0),Im(frequency 0),Re(frequency 1),Im(frequency 1),Re(frequency 2),Im(frequency 2),Re(frequency 3),Im(frequency 3),Re(frequency 4),Im(frequency 4),Re(frequency 5),Im(frequency 5)
622,0.558363888889,0.6666585956418001,-165.7109703716664,-21.76354947344823,-53.3874597803844,129.38340761992495,189.03667065176538,40.49960995093753,93.61337968746157,-219.8214165355626,-180.0166554072364,-177.54030904130505,-29.648331792086573,56.12908712523769
623,0.558363888889,0.6535554479416,-196.09819061006652,-30.395319505195168,-52.635771183744424,119.73515536732198,180.8356535661234,49.72450571298741,126.67674890419241,-210.13895744536086,-132.02117202203908,-220.392685318528,-17.585166126621882,34.161687131978745
624,0.5583638888890001,0.6389699757864001,-96.22289197665143,-31.23734765476943,-24.67516590895223,62.754959983650274,147.74283997247957,49.00913424015274,154.0579538709094,-180.84739698934143,-98.09992573679781,-162.21084913928942,-74.53877342277092,23.576480660870228
625,0.558363888889,0.628118644068,-46.534422032239604,9.102662981076886,-10.76291541975985,22.175302815437156,120.7259845709055,36.153389140351045,152.7030890900811,-113.88663761627045,-73.43345300404822,-202.20457325114612,114.95627249470789,-1.2692261166843184
626,0.5583638888890001,0.5838048426156001,62.51910924228793,53.71549391877668,-1.847276222287768,-68.62965701558808,-65.18910779237116,-1.600718686184909,20.57903716873077,65.01291506084391,77.8414734761707,-15.25111306468809,-30.425417843168944,-18.77927135655462
627,0.5583638888889999,0.5615024213064999,56.33419011432977,26.877946138316805,6.471900869291481,-71.67492162351333,-102.46052961612544,-7.814092430021462,-29.297547882009443,124.25815796029458,108.6076363134699,103.3155983992411,5.810578599396062,-22.32855718401647
628,0.5583638888889999,0.5114116222764999,-41.23393924284433,43.49696610695295,21.666005909687886,23.138516139596703,-27.137162924347564,-20.401841486489516,-55.070661496572804,19.200201188982472,21.409602063908896,50.27117726036218,27.03484900775983,-33.51400135616931
629,0.558363888889,0.47902421307599996,-85.47533124341392,79.97287188486183,-7.773897840214969,71.74038695001474,48.65830832399076,-23.37510750632445,5.46018276153834,-85.26658979897296,-28.918579517178483,-30.155768484741234,21.914985465726136,5.0985647243133965
630,0.558363888889,0.450401937046,-115.97865292062221,15.19099113492245,-24.53900285138519,91.34581558143664,96.36754465090203,4.807375997157276,28.617739441748228,-126.15841472463467,-77.1472170779663,-80.2777971194877,32.725343949228844,-9.939319091345926
631,0.558363888889,0.3735278450356,25.54719025069457,-83.93611475892052,-95.58480341521441,-85.58561148706949,-128.45343850800535,59.97641251599577,-33.04682300894259,101.37891217913865,-2.8399466785018843,40.2692882506495,-73.21721009380107,30.706674536435646
632,0.558363888889,0.3496531477,60.08580202202348,-119.67533554894356,-133.27182381168177,-147.64653111244897,-215.19216764831927,59.657939215811425,-62.70999576177966,174.8396415180323,65.64271306726741,115.81998193725394,-127.22496221787519,-31.521272076436883
633,0.558363888889,0.340099273608,-120.24797994142948,-1038.2511088643737,-145.2926318491394,-163.43204274981164,-230.69904209092226,51.18889996581637,-76.21164022748009,200.56087740345535,78.22683129543495,123.9203834778635,-7.225403245479643,41.75680356764817
634,0.558363888889,0.326237288135375,56.5414836344972,-72.5224939592103,-153.26553944503877,-169.00280280635636,-239.72221427911813,51.84414148934264,-86.0762520183855,203.56488784186314,142.43890568538697,143.07893115085977,-100.9141054993149,12.059478298047221
